pheno	meanratio	sdratio	meanr2	sdr2	meanmddr2	sdmddr2	lower	upper
57	centre.manchester	0.0396466569356834	0.0279408390160979	0.0005493477	0.000414827703878784	0.013320245	0.00298567370798638	-0.0151173875358684	0.0944107014072353
58	centre.middlesborough	0.0334354506526513	0.0177185258175746	0.0004267954	0.000209935353128423	0.013320245	0.00298567370798638	-0.00129285994979492	0.0681637612550975
59	centre.newcastle	0.0391556118159629	0.0277555039627623	0.0004774865	0.000305421010825403	0.013320245	0.00298567370798638	-0.0152451759510513	0.0935563995829771
60	centre.nottingham	0.0294287838898138	0.0292037172123104	0.0003408192	0.000302424586946454	0.013320245	0.00298567370798638	-0.0278105018463146	0.0866680696259423
61	centre.oxford	0.0406155799136904	0.0206584230251261	0.0005162883	0.000227969232201312	0.013320245	0.00298567370798638	0.000125070784443224	0.0811060890429376
62	centre.reading	0.0200094891935174	0.0111130637005481	0.0002535884	0.000128929369446307	0.013320245	0.00298567370798638	-0.00177211565955695	0.0417910940465918
63	centre.sheffield	0.0272802857592626	0.0172448934217409	0.0003389358	0.000173423518620873	0.013320245	0.00298567370798638	-0.00651970534734959	0.0610802768658747
64	centre.stockport	0.797477186903011	0.541141308429822	0.010069999	0.00594662111968441	0.013320245	0.00298567370798638	-0.26315977761944	1.85811415142546
65	centre.stoke	0.0457309452049748	0.0249369884604595	0.0005752308	0.000272842501412974	0.013320245	0.00298567370798638	-0.00314555217752588	0.0946074425874755
66	centre.swansea	0.168631198743208	0.110376049234211	0.0021042635	0.0011767606733992	0.013320245	0.00298567370798638	-0.0477058577558458	0.384968255242263
67	centre.wrexham	0.421493116972444	0.340079814990284	0.005318154	0.00375358991817818	0.013320245	0.00298567370798638	-0.245063320408513	1.0880495543534
68	chronotype.baseline	0.018355886672642	0.0118777381342364	0.00022982167	0.000134751411622489	0.013320245	0.00298567370798638	-0.00492448007046132	0.0416362534157453
69	college.baseline	0.0197322956822839	0.0076311090422494	0.00026883913	0.000126267227417939	0.013320245	0.00298567370798638	0.00477532195947509	0.0346892694050927
70	computergames.baseline	0.0187146313530061	0.00741935585824843	0.0002378411	7.94142540878036e-05	0.013320245	0.00298567370798638	0.00417269387083915	0.033256568835173
71	cse.baseline	0.022009504429034	0.0177807533843082	0.00029577386	0.000267237993355603	0.013320245	0.00298567370798638	-0.01284077220421	0.056859781062278
72	currentsmoking.baseline	0.0862941408195093	0.0312145540493156	0.0010890673	0.000311389608557458	0.013320245	0.00298567370798638	0.0251136148828508	0.147474666756168
73	educatedyrs	0.0454699634800749	0.0275978180676061	0.0005815086	0.000332990131459778	0.013320245	0.00298567370798638	-0.0086217599324331	0.0995616868925829
74	educationage.baseline	0.0279913892485299	0.015142079736643	0.0003543273	0.000184321835322713	0.013320245	0.00298567370798638	-0.00168708703529032	0.0576698655323502
75	eversamesexpartner.baseline	0.114168256006304	0.0684863224153475	0.001433351	0.00085197273531245	0.013320245	0.00298567370798638	-0.0200649359277767	0.248401447940385
76	eversmoked.baseline	0.133793464855188	0.0537279512223465	0.0017079936	0.000525930852971546	0.013320245	0.00298567370798638	0.0284866804593894	0.239100249250987
77	familyhappiness.baseline	0.155414875224937	0.0787571209496839	0.0018817917	0.00067863900117319	0.013320245	0.00298567370798638	0.00105091816355637	0.309778832286317
78	father.age	0.0509537410548026	0.0200827458635737	0.00068726138	0.000339106097045714	0.013320245	0.00298567370798638	0.0115915591621981	0.0903159229474071
79	father.ageatdeath	0.0248188159986587	0.01358206033545	0.00031832569	0.000150917987215739	0.013320245	0.00298567370798638	-0.0018020222588232	0.0514396542561407
80	father.alive	0.0124101471979204	0.00681610776859447	0.00016167099	9.7103035498982e-05	0.013320245	0.00298567370798638	-0.000949424028524765	0.0257697184243656
81	father.alzheimers	0.0292828582745549	0.0274321898432979	0.00036085944	0.000293563458026578	0.013320245	0.00298567370798638	-0.024484233818309	0.0830499503674188
82	father.bowelcancer	0.0303339216996373	0.0140600399531808	0.0003989234	0.000205267677163909	0.013320245	0.00298567370798638	0.00277624339140294	0.0578916000078717
83	father.bronchitis	0.0391947119403491	0.0281688852560444	0.0004741292	0.000303279122025972	0.013320245	0.00298567370798638	-0.016016303161498	0.0944057270421961
84	father.diabetes	0.0239243695421205	0.0232994917544317	0.00029629734	0.000286381966432293	0.013320245	0.00298567370798638	-0.0217426342965657	0.0695913733808066
85	father.heartdisease	0.0351166758283352	0.0258280682427615	0.00044926059	0.000307003071369242	0.013320245	0.00298567370798638	-0.0155063379274774	0.0857396895841478
86	father.highbloodpressure	0.0283655988657643	0.0146665333989139	0.0003560828	0.00015279400919306	0.013320245	0.00298567370798638	-0.000380806596106929	0.0571120043276355
87	father.lungcancer	0.0250546232886844	0.0177314068444704	0.00029309696	0.000178468958314008	0.013320245	0.00298567370798638	-0.00969893412647765	0.0598081807038464
88	father.parkinsons	0.0451213784457455	0.0177977547393262	0.0006014649	0.000262142551532749	0.013320245	0.00298567370798638	0.0102377791566661	0.080004977734825
89	father.prostatecancer	0.0250661061464301	0.0301432123780653	0.00030639477	0.000297522219440118	0.013320245	0.00298567370798638	-0.0340145901145778	0.084146802407438
90	father.severedepression	0.192654980316242	0.0948347785129496	0.002405781	0.00092005598250505	0.013320245	0.00298567370798638	0.0067788144308607	0.378531146201623
91	father.stroke	0.012149158780594	0.00599098773902743	0.00015500097	6.90782330719156e-05	0.013320245	0.00298567370798638	0.000406822812100215	0.0238914947490877
