pheno	meanratio	sdratio	meanr2	sdr2	meanmddr2	sdmddr2	lower	upper
98	homemaker.baseline	0.0727362372045951	0.0620274302716194	0.0003438773	0.00027347495218232	0.005301941	0.001911244052039	-0.0488375261277789	0.194310000536969
99	hoursjobweek.baseline	0.0327154751747778	0.0133365897190824	0.00016095304	6.12583949215344e-05	0.005301941	0.001911244052039	0.00657575932537628	0.0588551910241794
100	income.baseline	0.116805329325721	0.0551238340610939	0.0005585966	0.00019766181801653	0.005301941	0.001911244052039	0.00876261456597657	0.224848044085465
101	insomnia.baseline	0.110777743972688	0.0624927196517723	0.0005399442	0.000282052502708588	0.005301941	0.001911244052039	-0.0117079865447854	0.233263474490162
102	jobsatisfaction.baseline	0.175796772879765	0.151371552064912	0.0007350433	0.000389896622189082	0.005301941	0.001911244052039	-0.120891469167463	0.472485014926992
103	lefthanded.baseline	0.0548796333930438	0.0369162374092761	0.00026100447	0.000145051178760954	0.005301941	0.001911244052039	-0.0174761919291373	0.127235458715225
104	livew.children.baseline	0.0283741791085568	0.0168289250366189	0.0001386547	8.18009145284928e-05	0.005301941	0.001911244052039	-0.00461051396321627	0.06135887218033
105	livew.grandchild.baseline	3.67685221900603	1.30516557218018	0.019897513	0.00981669578515891	0.005301941	0.001911244052039	1.11872769753288	6.23497674047919
106	livew.grandparents.baseline	0.353020461679487	0.361756147406407	0.0014965535	0.00105865321047675	0.005301941	0.001911244052039	-0.35602158723707	1.06206251059604
107	livew.otherrelated.baseline	0.310235618146167	0.293590184888048	0.001343904	0.000716352250122801	0.005301941	0.001911244052039	-0.265201144234408	0.885672380526741
108	livew.parents.baseline	0.147474220608906	0.0612702492235052	0.0007195514	0.00033135897124894	0.005301941	0.001911244052039	0.0273845321308355	0.267563909086976
109	livew.sibling.baseline	0.504269382458745	0.34737388369605	0.0023945591	0.00127150199057881	0.005301941	0.001911244052039	-0.176583429585513	1.185122194503
110	livew.spouse.baseline	0.0655654852506709	0.0390921439635237	0.00032406126	0.000173691989660268	0.005301941	0.001911244052039	-0.0110551169178356	0.142186087419177
111	livew.unrelated.baseline	0.135197118845038	0.04900240076376	0.000713644	0.000377340491915017	0.005301941	0.001911244052039	0.0391524133480685	0.231241824342008
112	maternalsmokingatbirth.baseline	0.10934749047343	0.0620324577594191	0.0005210413	0.000232218228635647	0.005301941	0.001911244052039	-0.0122361267350315	0.230931107681891
113	miles.towork.baseline	0.0376191423443822	0.0155096466373325	0.00020251067	0.000109081310219019	0.005301941	0.001911244052039	0.00722023493521047	0.0680180497535539
114	mobileuse.baseline	0.0187495091597138	0.0164198295093688	8.818652e-05	7.90117270098813e-05	0.005301941	0.001911244052039	-0.0134333566786491	0.0509323749980768
